domain,i,j,value1,value2
plasma,1,86,24974.6227,1199086.3009
plasma,1,87,24974.6227,1199086.3009
plasma,1,88,24974.6227,1199086.3009
plasma,1,89,24974.6227,1199086.3009
plasma,1,90,24974.6227,1199086.3009
plasma,1,91,24974.6227,1199086.3009
plasma,1,92,24974.6227,1199086.3009
plasma,1,93,24974.6227,1199086.3009
plasma,1,94,24974.6227,1199086.3009
plasma,1,95,24974.6227,1199086.3009
plasma,1,96,24974.6227,1199086.3009
plasma,1,97,24974.6227,1199086.3009
plasma,1,98,24974.6227,1199086.3009
plasma,1,99,24974.6227,1199086.3009
plasma,1,100,24974.6227,1199086.3009
plasma,1,101,24974.6227,1199086.3009
plasma,1,102,24974.6227,1199086.3009
plasma,1,103,24974.6227,1199086.3009
plasma,1,104,24974.6227,1199086.3009
plasma,1,105,24974.6227,1199086.3009
plasma,1,106,24974.6227,1199086.3009
plasma,1,107,24974.6227,1199086.3009
plasma,1,108,24974.6227,1199086.3009
plasma,1,109,24974.6227,1199086.3009
plasma,1,110,24974.6227,1199086.3009
plasma,1,111,24974.6227,1199086.3009
plasma,1,112,24974.6227,1199086.3009
plasma,1,113,24974.6227,1199086.3009
plasma,1,114,24974.6227,1199086.3009
plasma,1,115,24974.6227,1199086.3009
plasma,1,116,24974.6227,1199086.3009
plasma,1,117,24974.6227,1199086.3009
plasma,1,118,24974.6227,1199086.3009
plasma,1,119,24974.6227,1199086.3009
plasma,1,120,24974.6227,1199086.3009
plasma,1,121,24974.6227,1199086.3009
plasma,1,122,24974.6227,1199086.3009
plasma,1,123,24974.6227,1199086.3009
plasma,1,124,24974.6227,1199086.3009
plasma,1,125,24974.6227,1199086.3009
plasma,1,126,24974.6227,1199086.3009
plasma,1,127,24974.6227,1199086.3009
plasma,1,128,24974.6227,1199086.3009
plasma,1,129,24974.6227,1199086.3009
plasma,1,130,24974.6227,1199086.3009
plasma,1,131,24974.6227,1199086.3009
plasma,1,132,24974.6227,1199086.3009
plasma,1,133,24974.6227,1199086.3009
plasma,1,134,24974.6227,1199086.3009
plasma,1,135,24974.6227,1199086.3009
plasma,1,136,24974.6227,1199086.3009
plasma,1,137,24974.6227,1199086.3009
plasma,1,138,24974.6227,1199086.3009
plasma,1,139,24974.6227,1199086.3009
plasma,1,140,24974.6227,1199086.3009
plasma,1,141,24974.6227,1199086.3009
plasma,1,142,24974.6227,1199086.3009
plasma,1,143,24974.6227,1199086.3009
plasma,1,144,24974.6227,1199086.3009
plasma,1,145,24974.6227,1199086.3009
plasma,1,146,24974.6227,1199086.3009
plasma,1,147,24974.6227,1199086.3009
plasma,1,148,24974.6227,1199086.3009
plasma,1,149,24974.6227,1199086.3009
plasma,1,150,24974.6227,1199086.3009
plasma,1,151,24974.6227,1199086.3009
plasma,1,152,24974.6227,1199086.3009
plasma,1,153,24974.6227,1199086.3009
plasma,1,154,24974.6227,1199086.3009
plasma,1,155,24974.6227,1199086.3009
plasma,1,156,24974.6227,1199086.3009
plasma,1,157,24974.6227,1199086.3009
plasma,1,158,24974.6227,1199086.3009
plasma,1,159,24974.6227,1199086.3009
plasma,1,160,24974.6227,1199086.3009
plasma,1,161,24974.6227,1199086.3009
plasma,1,162,24974.6227,1199086.3009
plasma,1,163,24974.6227,1199086.3009
plasma,1,164,24974.6227,1199086.3009
plasma,1,165,24974.6227,1199086.3009
plasma,1,166,24974.6227,1199086.3009
plasma,1,167,24974.6227,1199086.3009
plasma,1,168,24974.6227,1199086.3009
plasma,1,169,24974.6227,1199086.3009
plasma,1,170,24974.6227,1199086.3009
plasma,1,171,24974.6227,1199086.3009
plasma,1,172,24974.6227,1199086.3009
plasma,1,173,24974.6227,1199086.3009
plasma,1,174,24974.6227,1199086.3009
plasma,1,175,24974.6227,1199086.3009
plasma,1,176,24974.6227,1199086.3009
plasma,1,177,24974.6227,1199086.3009
plasma,1,178,24974.6227,1199086.3009
plasma,1,179,24974.6227,1199086.3009
plasma,2,0,24938.5661,1197787.6984
plasma,2,1,24938.5661,1197787.6984
plasma,2,2,24938.5661,1197787.6984
plasma,2,3,24938.5661,1197787.6984
plasma,2,4,24938.5661,1197787.6984
plasma,2,5,24938.5661,1197787.6984
plasma,2,6,24938.5661,1197787.6984
plasma,2,7,24938.5661,1197787.6984
plasma,2,8,24938.5661,1197787.6984
plasma,2,9,24938.5661,1197787.6984
plasma,2,10,24938.5661,1197787.6984
plasma,2,11,24938.5661,1197787.6984
plasma,2,12,24938.5661,1197787.6984
plasma,2,13,24938.5661,1197787.6984
plasma,2,14,24938.5661,1197787.6984
plasma,2,15,24938.5661,1197787.6984
plasma,2,16,24938.5661,1197787.6984
plasma,2,17,24938.5661,1197787.6984
plasma,2,18,24938.5661,1197787.6984
plasma,2,19,24938.5661,1197787.6984
plasma,2,20,24938.5661,1197787.6984
plasma,2,21,24938.5661,1197787.6984
plasma,2,22,24938.5661,1197787.6984
plasma,2,23,24938.5661,1197787.6984
plasma,2,24,24938.5661,1197787.6984
plasma,2,25,24938.5661,1197787.6984
plasma,2,26,24938.5661,1197787.6984
plasma,2,27,24938.5661,1197787.6984
plasma,2,28,24938.5661,1197787.6984
plasma,2,29,24938.5661,1197787.6984
plasma,2,30,24938.5661,1197787.6984
plasma,2,31,24938.5661,1197787.6984
plasma,2,32,24938.5661,1197787.6984
plasma,2,33,24938.5661,1197787.6984
plasma,2,34,24938.5661,1197787.6984
plasma,2,35,24938.5661,1197787.6984
plasma,2,36,24938.5661,1197787.6984
plasma,2,37,24938.5661,1197787.6984
plasma,2,38,24938.5661,1197787.6984
plasma,2,39,24938.5661,1197787.6984
plasma,2,40,24938.5661,1197787.6984
plasma,2,41,24938.5661,1197787.6984
plasma,2,42,24938.5661,1197787.6984
plasma,2,43,24938.5661,1197787.6984
plasma,2,44,24938.5661,1197787.6984
plasma,2,45,24938.5661,1197787.6984
plasma,2,46,24938.5661,1197787.6984
plasma,2,47,24938.5661,1197787.6984
plasma,2,48,24938.5661,1197787.6984
plasma,2,49,24938.5661,1197787.6984
plasma,2,50,24938.5661,1197787.6984
plasma,2,51,24938.5661,1197787.6984
plasma,2,52,24938.5661,1197787.6984
plasma,2,53,24938.5661,1197787.6984
plasma,2,54,24938.5661,1197787.6984
plasma,2,55,24938.5661,1197787.6984
plasma,2,56,24938.5661,1197787.6984
plasma,2,57,24938.5661,1197787.6984
plasma,2,58,24938.5661,1197787.6984
plasma,2,59,24938.5661,1197787.6984
plasma,2,60,24938.5661,1197787.6984
plasma,2,61,24938.5661,1197787.6984
plasma,2,62,24938.5661,1197787.6984
plasma,2,63,24938.5661,1197787.6984
plasma,2,64,24938.5661,1197787.6984
plasma,2,65,24938.5661,1197787.6984
plasma,2,66,24938.5661,1197787.6984
plasma,2,67,24938.5661,1197787.6984
plasma,2,68,24938.5661,1197787.6984
plasma,2,69,24938.5661,1197787.6984
plasma,2,70,24938.5661,1197787.6984
